Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPtâ–¼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
292,Taysom Hill\HillTa00,NOR,QB,30,3,2,1,1,38,0,0,7,27,3.86,0,2,2,15,7.50,0,1,1,0,,,4,5.7,6.7,4.7,,37,
293,Ryan Izzo\IzzoRy00,NWE,TE,25,3,3,0,0,0,0,0,0,0,,0,5,3,44,14.67,0,0,0,0,,,4,7.4,7.4,5.9,,48,
294,Lawrence Cager\CageLa01,NYJ,WR,23,1,1,0,0,0,0,0,0,0,,0,4,2,35,17.50,0,0,0,0,,,4,5.5,5.5,4.5,,125,
295,Chris Herndon\HernCh00,NYJ,TE,24,3,3,0,0,0,0,0,0,0,,0,16,10,63,6.30,0,1,1,0,,,4,14.3,15.3,9.3,,49,
296,La'Mical Perine\PeriLa00,NYJ,RB,22,2,0,0,0,0,0,0,10,41,4.10,0,2,2,-1,-0.50,0,0,0,0,,,4,6.0,6.0,5.0,,85,
297,Cameron Batson\BatsCa00,TEN,WR,25,2,1,0,0,0,0,0,1,11,11.00,0,2,2,26,13.00,0,0,0,0,,,4,5.7,5.7,4.7,,122,
298,A.J. Brown\BrowAJ00,TEN,WR,23,1,1,0,0,0,0,0,0,0,,0,8,5,39,7.80,0,0,0,0,,,4,8.9,8.9,6.4,,121,
299,Vance McDonald\McDoVa00,PIT,TE,30,3,3,0,0,0,0,0,0,0,,0,7,5,41,8.20,0,0,0,0,,,4,9.1,9.1,6.6,,52,
300,Gerald Everett\EverGe00,LAR,TE,26,3,1,0,0,0,0,0,0,0,,0,4,3,41,13.67,0,0,0,0,,,4,7.1,7.1,5.6,,51,
301,Travis Homer\HomeTr00,SEA,RB,22,3,0,0,0,0,0,0,8,39,4.88,0,3,2,4,2.00,0,0,0,0,,,4,6.3,6.3,5.3,,84,
302,Trent Taylor\TaylTr02,SFO,WR,26,3,0,0,0,0,0,0,0,0,,0,9,5,37,7.40,0,0,0,0,,,4,8.7,8.7,6.2,,123,
303,Brandon Powell\PoweBr00,ATL,WR,24,3,0,0,0,0,0,0,0,0,,0,4,3,27,9.00,0,0,0,0,,,3,5.7,5.7,4.2,,132,
304,Ito Smith\SmitIt00,ATL,RB,25,3,0,0,0,0,0,0,6,24,4.00,0,5,3,2,0.67,0,0,0,0,,,3,5.6,5.6,4.1,,91,
305,Ian Thomas\ThomIa00,CAR,TE,24,3,2,0,0,0,0,0,0,0,,0,4,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4.0,,57,
306,Ted Ginn Jr.\GinnTe00,CHI,WR,35,2,0,0,0,0,0,0,0,0,,0,4,1,29,29.00,0,0,0,0,,,3,3.9,3.9,3.4,,129,
307,Auden Tate\TateAu00,CIN,WR,23,2,1,0,0,0,0,0,0,0,,0,4,2,29,14.50,0,0,0,0,,,3,4.9,4.9,3.9,,130,
308,Blake Bell\BellBl00,DAL,TE,29,3,0,0,0,0,0,0,0,0,,0,4,2,34,17.00,0,0,0,0,,,3,5.4,5.4,4.4,,55,
309,AJ Dillon\DillAJ00,GNB,RB,22,3,0,0,0,0,0,0,7,31,4.43,0,0,0,0,,0,0,0,0,,,3,3.1,3.1,3.1,,88,
310,Adam Trautman\TrauAd00,NOR,TE,23,3,0,0,0,0,0,0,0,0,,0,3,3,34,11.33,0,0,0,0,,,3,6.4,6.4,4.9,,54,
311,Wayne Gallman\GallWa00,NYG,RB,26,2,1,0,0,0,0,0,4,7,1.75,0,4,3,21,7.00,0,0,0,0,,,3,5.8,5.8,4.3,,90,
312,Damion Ratley\RatlDa00,NYG,WR,25,3,0,0,0,0,0,0,0,0,,0,5,1,29,29.00,0,1,0,0,,,3,3.9,3.9,3.4,,127,
313,Kaden Smith\SmitKa00,NYG,TE,23,3,3,0,0,0,0,0,0,0,,0,7,5,29,5.80,0,1,0,0,,,3,7.9,7.9,5.4,,56,
314,Josh Malone\MaloJo00,NYJ,WR,24,3,0,0,0,0,0,0,1,12,12.00,0,6,4,16,4.00,0,0,0,0,,,3,6.8,6.8,4.8,,131,
315,Breshad Perriman\PerrBr02,NYJ,WR,27,2,2,0,0,0,0,0,0,0,,0,7,5,29,5.80,0,0,0,0,,,3,7.9,7.9,5.4,,128,
316,Corey Clement\ClemCo00,PHI,RB,26,3,0,0,0,0,0,0,9,27,3.00,0,2,2,2,1.00,0,0,0,0,,,3,4.9,4.9,3.9,,89,
317,Antonio Gandy-Golden\GandAn00,WAS,WR,22,2,0,0,0,0,0,0,1,22,22.00,0,3,1,3,3.00,0,0,0,0,,,3,3.5,3.5,3.0,,133,
318,Isaiah Wright\WrigIs01,WAS,WR,23,2,1,0,0,0,0,0,1,6,6.00,0,6,4,24,6.00,0,0,0,0,,,3,7.0,7.0,5.0,,126,
319,T.J. Yeldon\YeldT.00,BUF,RB,27,1,0,0,0,0,0,0,3,18,6.00,0,0,0,0,,0,0,0,0,,,2,1.8,1.8,1.8,,93,
320,Alex Armah\ArmaAl00,CAR,RB,26,3,1,0,0,0,0,0,2,1,0.50,0,1,1,14,14.00,0,0,0,0,,,2,2.5,2.5,2.0,,96,
321,Reggie Bonnafon\BonnRe00,CAR,RB,24,1,0,0,0,0,0,0,2,16,8.00,0,0,0,0,,0,0,0,0,,,2,1.6,1.6,1.6,,95,
322,Seth Roberts\RobeSe00,CAR,WR,29,3,0,0,0,0,0,0,0,0,,0,5,3,21,7.00,0,0,0,0,,,2,5.1,5.1,3.6,,138,
323,Demetrius Harris\HarrDe03,CHI,TE,29,3,2,0,0,0,0,0,0,0,,0,5,3,15,5.00,0,0,0,0,,,2,4.5,4.5,3.0,,61,
324,John Ross\RossJo00,CIN,WR,26,2,1,0,0,0,0,0,0,0,,0,7,2,17,8.50,0,0,0,0,,,2,3.7,3.7,2.7,,140,
325,Daurice Fountain\FounDa00,IND,WR,25,2,0,0,0,0,0,0,0,0,,0,2,2,23,11.50,0,0,0,0,,,2,4.3,4.3,3.3,,135,
326,Darrell Daniels\DaniDa02,ARI,TE,26,3,2,0,0,0,0,0,0,0,,0,3,2,24,12.00,0,0,0,0,,,2,4.4,4.4,3.4,,58,
327,KeeSean Johnson\JohnKe07,ARI,WR,24,1,0,0,0,0,0,0,0,0,,0,7,2,24,12.00,0,0,0,0,,,2,4.4,4.4,3.4,,134,
328,DaeSean Hamilton\HamiDa01,DEN,WR,25,3,1,0,0,0,0,0,0,0,,0,6,2,23,11.50,0,0,0,0,,,2,4.3,4.3,3.3,,136,
329,Jamal Agnew\AgneJa00,DET,WR,25,3,0,0,0,0,0,0,1,2,2.00,0,4,3,20,6.67,0,0,0,0,,,2,5.2,5.2,3.7,,137,
330,Collin Johnson\JohnCo01,JAX,WR,23,3,0,0,0,0,0,0,0,0,,0,6,2,17,8.50,0,0,0,0,,,2,3.7,3.7,2.7,,142,
331,C.J. Ham\HamxC.00,MIN,RB,27,3,2,0,0,0,0,0,1,4,4.00,0,2,1,11,11.00,0,0,0,0,,,2,2.5,2.5,2.0,,97,
332,Josh Hill\HillJo02,NOR,TE,30,3,2,0,0,0,0,0,0,0,,0,3,1,16,16.00,0,0,0,0,,,2,2.6,2.6,2.1,,60,
333,Ty Montgomery\MontTy01,NOR,RB,27,2,0,0,0,0,0,0,1,-4,-4.00,0,3,2,25,12.50,0,0,0,0,,,2,4.1,4.1,3.1,,92,
334,Michael Thomas\ThomMi05,NOR,WR,27,1,1,0,0,0,0,0,0,0,,0,5,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,143,
335,Deontay Burnett\BurnDe00,PHI,WR,23,1,0,0,0,0,0,0,0,0,,0,4,3,19,6.33,0,0,0,0,,,2,4.9,4.9,3.4,,139,
336,John Hightower\HighJo00,PHI,WR,24,3,1,0,0,0,0,0,0,0,,0,7,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,141,
337,Richard Rodgers\RodgRi00,PHI,TE,28,3,0,0,0,0,0,0,0,0,,0,2,2,15,7.50,0,0,0,0,,,2,3.5,3.5,2.5,,62,
338,K.J. Hill\HillKJ00,LAC,WR,23,3,0,0,0,0,0,0,0,0,,0,4,1,15,15.00,0,0,0,0,,,2,2.5,2.5,2.0,,144,
339,Will Dissly\DissWi00,SEA,TE,24,3,2,0,0,0,0,0,0,0,,0,5,5,22,4.40,0,0,0,0,,,2,7.2,7.2,4.7,,59,
340,Jamycal Hasty\HastJa02,SFO,RB,24,1,0,0,0,0,0,0,2,9,4.50,0,1,1,9,9.00,0,0,0,0,,,2,2.8,2.8,2.3,,94,
341,Keith Smith\SmitKe03,ATL,RB,28,3,2,0,0,0,0,0,1,2,2.00,0,3,2,4,2.00,0,0,0,0,,,1,2.6,2.6,1.6,,108,
342,Luke Stocker\StocLu00,ATL,TE,32,3,1,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,71,
343,Chris Manhertz\ManhCh00,CAR,TE,28,3,2,0,0,0,0,0,0,0,,0,2,2,12,6.00,0,0,0,0,,,1,3.2,3.2,2.2,,66,
344,Cole Kmet\KmetCo00,CHI,TE,21,3,1,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,65,
345,Rashard Higgins\HiggRa00,CLE,WR,26,2,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,146,
346,Andy Janovich\JanoAn00,CLE,RB,27,3,1,0,0,0,0,0,0,0,,0,2,2,13,6.50,0,0,0,0,,,1,3.3,3.3,2.3,,99,
347,D'Ernest Johnson\JohnDE04,CLE,RB,24,3,0,0,0,0,0,0,1,5,5.00,0,0,0,0,,0,0,0,0,,,1,0.5,0.5,0.5,,109,
348,Jacoby Brissett\BrisJa00,IND,QB,28,2,0,2,4,17,0,0,2,0,0.00,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,39,
349,Ashton Dulin\DuliAs00,IND,WR,23,3,0,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,154,
350,Blake Jarwin\JarwBl00,DAL,TE,26,1,1,0,0,0,0,0,0,0,,0,1,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,68,
351,Jake Butt\ButtJa00,DEN,TE,25,3,0,0,0,0,0,0,0,0,,0,3,2,5,2.50,0,0,0,0,,,1,2.5,2.5,1.5,,72,
352,Tyrie Cleveland\ClevTy00,DEN,WR,23,2,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,152,
353,Diontae Spencer\SpenDi00,DEN,WR,28,3,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,153,
354,Josiah Deguara\DeguJo00,GNB,TE,23,1,1,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,67,
355,DeAndre Carter\CartDe02,HOU,WR,27,3,0,0,0,0,0,0,0,0,,0,2,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3,,148,
356,Cullen Gillaspia\GillCu00,HOU,RB,25,2,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,107,
357,Duke Johnson\JohnDu00,HOU,RB,27,1,0,0,0,0,0,0,5,14,2.80,0,1,0,0,,0,0,0,0,,,1,1.4,1.4,1.4,,98,
358,Darwin Thompson\ThomDa06,KAN,RB,24,3,0,0,0,0,0,0,6,32,5.33,0,3,0,0,,0,1,1,0,,,1,1.2,2.2,1.2,,101,
359,Patrick Laird\LairPa00,MIA,RB,25,3,0,0,0,0,0,0,0,0,,0,2,2,9,4.50,0,0,0,0,,,1,2.9,2.9,1.9,,103,
360,Durham Smythe\SmytDu00,MIA,TE,25,3,2,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,70,
361,Chad Beebe\BeebCh00,MIN,WR,26,1,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,150,
362,Irv Smith Jr.\SmitIr01,MIN,TE,22,3,1,0,0,0,0,0,0,0,,0,5,2,14,7.00,0,0,0,0,,,1,3.4,3.4,2.4,,63,
363,Jakobi Meyers\MeyeJa01,NWE,WR,24,3,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,151,
364,Isaiah Zuber\ZubeIs00,NWE,WR,23,1,0,0,0,0,0,0,1,13,13.00,0,0,0,0,,0,0,0,0,,,1,1.3,1.3,1.3,,145,
365,Devonta Freeman\FreeDe00,NYG,RB,28,1,0,0,0,0,0,0,5,10,2.00,0,0,0,0,,0,0,0,0,,,1,1.0,1.0,1.0,,102,
366,Levine Toilolo\ToilLe00,NYG,TE,29,3,1,0,0,0,0,0,0,0,,0,1,1,13,13.00,0,0,0,0,,,1,2.3,2.3,1.8,,64,
367,Khari Blasingame\BlasKh00,TEN,RB,24,3,1,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,110,
368,Darrynton Evans\EvanDa02,TEN,RB,22,1,0,0,0,0,0,0,3,9,3.00,0,0,0,0,,0,0,0,0,,,1,0.9,0.9,0.9,,105,
369,Jeremy McNichols\McNiJe00,TEN,RB,25,3,0,0,0,0,0,0,2,7,3.50,0,2,1,5,5.00,0,0,0,0,,,1,2.2,2.2,1.7,,100,
370,Senorise Perry\PerrSe00,TEN,RB,29,2,0,0,0,0,0,0,2,9,4.50,0,0,0,0,,0,0,0,0,,,1,0.9,0.9,0.9,,104,
371,Jalen Hurts\HurtJa00,PHI,QB,22,2,0,0,0,0,0,0,2,8,4.00,0,0,0,0,,0,1,0,0,,,1,0.8,0.8,0.8,,38,
372,Jaylen Samuels\SamuJa00,PIT,RB,24,3,0,0,0,0,0,0,2,3,1.50,0,3,2,5,2.50,0,0,0,0,,,1,2.8,2.8,1.8,,106,
373,Jason Witten\WittJa00,LVR,TE,38,3,3,0,0,0,0,0,0,0,,0,2,2,5,2.50,0,0,0,0,,,1,2.5,2.5,1.5,,73,
374,Virgil Green\GreeVi00,LAC,TE,32,3,1,0,0,0,0,0,0,0,,0,3,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,69,
375,Joe Reed\ReedJo03,LAC,WR,22,3,0,0,0,0,0,0,1,8,8.00,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,149,
376,Mohamed Sanu\SanuMo00,SFO,WR,31,2,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,147,
377,Nick Vannett\VannNi00,DEN,TE,27,2,0,0,0,0,0,0,0,0,,0,4,1,-6,-6.00,0,0,0,0,,,-1,0.4,0.4,-0.1,,101,
378,Keke Coutee\CoutKe00,HOU,WR,23,1,0,0,0,0,0,0,0,0,,0,2,2,11,5.50,0,1,1,0,,,-1,1.1,2.1,0.1,,186,
379,Michael Burton\BurtMi00,NOR,,28,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,1,75
380,Christian Blake\BlakCh00,ATL,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,178,
381,Jaeden Graham\GrahJa01,ATL,,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,85,
382,Qadree Ollison\OlliQa00,ATL,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,116,
383,Trenton Cannon\CannTr00,CAR,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,
384,Pharoh Cooper\CoopPh00,CAR,,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,173,
385,Colin Thompson\ThomCo03,CAR,,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,95,
386,Brandon Zylstra\ZylsBr00,CAR,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,181,
387,J.P. Holtz\HoltJ.01,CHI,,27,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,98,
388,Ryan Nall\NallRy00,CHI,RB,25,3,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,113,
389,Cethan Carter\CartCe00,CIN,TE,25,3,1,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,76,
390,Alex Erickson\EricAl01,CIN,,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,179,
391,Ryan Finley\FinlRy00,CIN,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,43,
392,Clark Harris\HarrCl20,CIN,,36,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,89,
393,Samaje Perine\PeriSa00,CIN,,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,117,
394,Mason Schreck\SchrMa00,CIN,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,87,
395,Stephen Carlson\CarlSt00,CLE,,24,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,77,
396,Jojo Natson\NatsJo00,CLE,WR,26,3,0,0,0,0,0,0,1,3,3.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,156,
397,D.J. Foster\FostD.01,ARI,,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,118,
398,Trent Sherfield\SherTr00,ARI,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,167,
399,Chris Streveler\StreCh00,ARI,QB,25,3,0,0,0,0,0,0,1,3,3.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,40,
400,Jordan Thomas\ThomJo05,ARI,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,93,
401,Maxx Williams\WillMa04,ARI,,26,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,90,
402,Deante Burton\BurtDe00,DAL,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,184,
403,Andy Dalton\DaltAn00,DAL,QB,33,1,0,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,44,
404,C.J. Goodwin\GoodC.00,DAL,,30,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,158,
405,Malik Turner\TurnMa00,DAL,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,160,
406,Andrew Beck\BeckAn01,DEN,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,100,
407,Ty Johnson\JohnTy02,DET,,23,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,168,
408,Tim Boyle\BoylTi00,GNB,QB,26,2,0,0,0,0,0,0,4,-3,-0.75,0,0,0,0,,0,0,0,0,,,,-0.3,-0.3,-0.3,,45,
409,Darrius Shepherd\ShepDa00,GNB,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,180,
410,Pharaoh Brown\BrowPh01,HOU,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,79,
411,Buddy Howell\HoweGr00,HOU,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,120,
412,C.J. Prosise\ProsC.00,HOU,RB,26,2,0,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1,,114,
413,Kahale Warring\WarrKa00,HOU,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,80,
414,Bruce Miller\MillBr02,JAX,RB,33,3,1,0,0,0,0,0,0,0,,0,2,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,112,
415,Dare Ogunbowale\OgunDa00,JAX,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,
416,Dede Westbrook\WestDe00,JAX,WR,27,1,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,155,
417,Marcus Kemp\KempMa00,KAN,,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,159,
418,Byron Pringle\PrinBy00,KAN,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,161,
419,Deon Yelder\YeldDe00,KAN,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,82,
420,Lynn Bowden Jr.\BowdLy00,MIA,RB,23,1,0,0,0,0,0,0,0,0,,0,1,1,-1,-1.00,0,0,0,0,,,,0.9,0.9,0.4,,128,
421,Chandler Cox\CoxxCh01,MIA,,24,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,
422,Mack Hollins\HollMa00,MIA,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,165,
423,Adam Shaheen\ShahAd00,MIA,TE,26,3,0,0,0,0,0,0,0,0,,0,2,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,74,
424,Ameer Abdullah\AbduAm00,MIN,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,
425,Mike Boone\BoonMi00,MIN,,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,119,
426,Tyler Conklin\ConkTy00,MIN,,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,91,
427,Tajae Sharpe\SharTa00,MIN,,26,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,169,
428,Bennie Fowler\FowlBe00,NOR,,29,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,174,
429,Justin Hardee\HardJu01,NOR,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,177,
430,Dwayne Washington\WashDw00,NOR,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,
431,Matthew Slater\SlatMa00,NWE,,35,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,175,
432,Johnny Holton\HoltJo00,NYG,,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,157,
433,Elijhaa Penny\PennEl00,NYG,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,
434,Eric Tomlinson\TomlEr01,NYG,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,78,
435,Daniel Brown\BrowDa04,NYJ,,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,99,
436,Ryan Griffin\GrifRy00,NYJ,,30,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,97,
437,Trevon Wesco\WescTr00,NYJ,,25,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,94,
438,Cody Hollister\HollCo00,TEN,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,185,
439,JJ Arcega-Whiteside\ArceJJ00,PHI,,24,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,170,
440,Jason Huntley\HuntJa01,PHI,RB,22,1,0,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1,,115,
441,Ray-Ray McCloud\McClRa00,PIT,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,166,
442,Derek Watt\WattDe00,PIT,,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,2,
443,Derek Carrier\CarrDe00,LVR,,30,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,171,
444,Rico Gafford\GaffRi00,LVR,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,182,
445,Johnny Mundt\MundJo00,LAR,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,83,
446,Nsimba Webster\WebsNs00,LAR,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,172,
447,Robert Griffin III\GrifRo01,BAL,QB,30,1,0,1,1,9,0,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,41,
448,Stephen Anderson\AndeSt01,LAC,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,84,
449,Justin Jackson\JackJu01,LAC,RB,25,1,0,0,0,0,0,0,2,4,2.00,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,111,
450,Luke Willson\WillLu00,SEA,,30,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,96,
451,Richie James\JameRi00,SFO,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,162,
452,Dante Pettis\PettDa00,SFO,,25,3,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,163,
453,Antony Auclair\AuclAn00,TAM,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,88,
454,Kenjon Barner\BarnKe00,TAM,,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,
455,Cameron Brate\BratCa00,TAM,,29,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,86,
456,Cyril Grayson\GrayCy01,TAM,,27,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,176,
457,Tanner Hudson\HudsTa00,TAM,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,81,
458,Jaydon Mickens\MickJa01,TAM,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,164,
459,Marcus Baugh\BaugMa02,WAS,TE,26,3,1,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,75,
460,Cam Sims\SimsCa00,WAS,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,183,
461,Jeremy Sprinkle\SpriJe00,WAS,,26,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,92,