Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Pittsburgh Steelers,5,18.8,285.2,58.8,4.9,1.80,0.20,17.6,20.0,34.2,219.0,1.80,1.60,5.6,12.4,19.8,66.2,0.60,3.3,2.80,5.60,48.6,2.40,26.8,16.1,3.23
2,Baltimore Ravens,6,17.3,339.8,66.2,5.1,1.83,1.33,20.3,24.8,38.7,230.8,1.33,0.50,5.5,13.8,23.8,109.0,0.67,4.6,4.67,4.67,36.7,1.83,26.5,16.2,1.94
3,Denver Broncos,5,22.0,349.8,67.4,5.2,1.00,0.40,18.8,25.4,38.6,239.2,1.40,0.60,5.8,12.8,26.0,110.6,0.60,4.3,5.00,7.20,63.8,1.00,36.2,8.6,0.02
4,New England Patriots,5,22.0,339.0,58.4,5.8,2.00,0.80,19.6,18.8,28.6,219.8,1.80,1.20,7.3,10.8,28.2,119.2,0.20,4.2,7.00,5.00,40.2,1.80,41.2,19.6,-2.42
5,Arizona Cardinals,6,18.7,346.2,67.2,5.2,1.17,0.67,22.8,23.0,36.8,226.5,1.50,0.50,5.7,12.7,27.5,119.7,0.50,4.4,7.33,6.67,46.5,2.83,34.9,9.5,-4.50
6,Miami Dolphins,6,18.8,360.2,62.5,5.8,1.50,0.67,22.0,21.7,34.8,236.0,1.17,0.83,6.3,11.5,24.8,124.2,1.33,5.0,8.33,5.17,53.3,2.17,27.7,13.8,-3.02
7,Los Angeles Rams,6,19.0,318.5,64.0,5.0,1.00,0.33,20.8,23.2,35.7,209.5,1.33,0.67,5.4,12.2,25.0,109.0,0.83,4.4,7.17,5.17,43.0,1.50,33.3,9.5,-1.83
8,Indianapolis Colts,6,19.2,288.0,59.7,4.8,1.67,0.00,17.3,20.0,32.3,199.7,1.17,1.67,5.8,10.7,25.2,88.3,0.67,3.5,4.83,5.83,49.3,1.83,32.8,16.4,0.22
9,Chicago Bears,6,19.3,337.2,65.5,5.1,1.33,0.50,21.3,20.8,36.5,224.2,0.67,0.83,5.7,11.7,26.5,113.0,0.83,4.3,5.67,7.50,69.3,4.00,39.7,11.8,-1.65
10,Tampa Bay Buccaneers,6,20.3,282.0,61.0,4.6,1.83,0.50,16.8,23.8,35.7,217.7,1.17,1.33,5.5,11.5,21.7,64.3,0.83,3.0,3.67,6.33,71.3,1.67,28.6,15.7,4.17
11,Los Angeles Chargers,5,25.0,380.6,67.2,5.7,0.80,0.20,21.4,27.0,41.0,273.0,1.80,0.60,6.4,15.2,24.6,107.6,0.60,4.4,5.40,6.80,62.8,0.80,45.6,7.0,-3.97
12,Tennessee Titans,5,25.2,409.8,66.2,6.2,1.80,0.60,23.8,25.0,37.8,272.8,2.60,1.20,7.0,15.2,27.0,137.0,0.80,5.1,7.60,6.00,47.6,1.00,40.4,15.4,-11.12
13,Kansas City Chiefs,6,21.2,353.3,63.5,5.6,1.50,0.33,21.3,18.8,31.3,208.0,1.50,1.17,6.2,10.5,30.0,145.3,0.83,4.8,8.83,5.50,43.8,2.00,36.1,14.8,-5.49
14,San Francisco 49ers,6,21.7,321.0,61.3,5.2,1.00,0.33,19.3,20.5,33.0,212.7,1.33,0.67,6.1,10.0,26.7,108.3,0.67,4.1,6.67,5.83,53.8,2.67,39.7,9.5,-2.13
15,Seattle Seahawks,5,27.0,471.2,75.6,6.2,2.00,0.60,28.0,32.0,47.8,370.4,1.60,1.40,7.5,19.8,26.0,100.8,1.20,3.9,6.80,5.40,43.6,1.40,46.4,17.9,-10.14
16,Green Bay Packers,5,27.8,347.4,59.2,5.9,0.60,0.20,22.0,22.6,32.2,231.2,1.80,0.40,6.7,12.0,24.6,116.2,1.40,4.7,8.00,4.60,39.2,2.00,43.1,5.9,-11.50
17,Carolina Panthers,6,23.5,340.5,62.3,5.5,1.50,0.83,22.2,24.7,36.8,218.8,1.17,0.67,5.8,12.7,24.7,121.7,1.50,4.9,7.17,5.67,49.7,2.33,44.1,15.3,-6.34
18,Detroit Lions,5,28.6,379.0,64.8,5.8,1.20,0.20,25.0,21.0,34.0,234.0,2.00,1.00,6.6,14.0,29.6,145.0,1.40,4.9,8.40,6.00,53.8,2.60,44.2,11.5,-12.82
19,New Orleans Saints,5,30.0,337.4,65.0,5.2,1.00,0.40,22.4,21.8,34.2,237.2,3.00,0.60,6.4,13.2,28.2,100.2,0.80,3.6,5.20,4.00,37.0,4.00,45.5,7.3,-12.26
20,New York Giants,6,25.3,342.0,65.2,5.2,1.33,0.67,22.2,24.0,33.8,235.5,1.67,0.67,6.5,13.8,28.8,106.5,1.00,3.7,6.83,4.33,32.3,1.50,50.0,12.5,-7.87
21,Las Vegas Raiders,5,30.4,393.6,63.0,6.2,0.60,0.00,23.0,22.2,35.4,266.8,1.40,0.60,7.3,13.4,26.2,126.8,2.00,4.8,7.60,6.40,80.4,2.00,51.0,5.9,-13.68
22,Cincinnati Bengals,6,26.2,394.7,66.7,5.9,1.17,0.17,22.3,22.7,36.8,252.3,1.67,1.00,6.6,12.3,28.2,142.3,1.00,5.1,8.00,6.83,55.5,2.00,42.0,10.1,-8.45
23,Washington Football Team,6,27.0,337.0,61.7,5.5,1.33,0.17,19.0,19.0,29.2,207.0,1.67,1.17,6.5,11.2,29.8,130.0,1.33,4.4,6.00,5.67,47.8,1.83,40.0,11.4,-4.33
24,Buffalo Bills,6,28.0,387.5,65.8,5.9,1.17,0.83,24.5,24.8,35.3,256.2,2.00,0.33,6.9,13.8,28.7,131.3,1.33,4.6,9.00,6.00,54.0,1.67,49.2,11.9,-14.25
25,Philadelphia Eagles,6,29.2,355.2,68.5,5.2,0.83,0.50,23.2,23.8,34.7,229.7,1.83,0.33,6.0,15.0,30.3,125.5,1.67,4.1,6.00,7.67,68.7,2.17,40.8,5.3,-6.71
26,Jacksonville Jaguars,6,30.2,414.5,64.0,6.5,1.00,0.00,25.0,23.5,32.0,270.7,2.00,1.00,8.2,13.0,31.2,143.8,1.33,4.6,8.83,5.67,53.2,3.17,55.7,9.8,-16.11
27,Houston Texans,6,30.3,423.0,69.3,6.1,0.67,0.50,25.5,23.7,34.0,245.5,2.17,0.17,6.7,14.3,32.7,177.5,1.33,5.4,9.67,3.50,30.7,1.50,48.4,6.5,-17.83
28,Atlanta Falcons,6,30.7,432.5,65.0,6.7,1.33,0.50,24.0,28.7,40.0,335.3,3.00,0.83,8.1,16.3,23.7,97.2,0.83,4.1,5.83,5.50,47.7,1.83,45.6,11.8,-13.34
29,New York Jets,6,30.8,378.8,63.8,5.9,1.50,0.33,22.7,23.3,32.5,253.3,1.83,1.17,7.5,13.7,29.8,125.5,1.50,4.2,5.67,6.50,59.3,3.33,42.9,12.9,-10.37
30,Cleveland Browns,6,31.2,365.7,66.8,5.5,2.00,1.00,23.3,26.0,39.7,271.7,2.17,1.00,6.5,15.3,24.8,94.0,1.33,3.8,7.00,5.33,49.2,1.00,43.9,18.2,-7.92
31,Minnesota Vikings,6,32.0,413.7,68.2,6.1,0.83,0.33,23.3,24.0,35.2,286.7,2.33,0.50,7.7,13.5,30.8,127.0,0.83,4.1,8.00,4.83,44.3,1.83,57.6,6.1,-12.56
32,Dallas Cowboys,6,36.3,410.0,68.2,6.0,0.50,0.33,23.8,20.0,32.7,236.7,2.33,0.17,6.9,12.3,33.7,173.3,1.67,5.1,9.33,6.33,46.5,2.17,52.1,4.2,-15.09